"Date","Product","OS","Language","Downloads"
2010-01-01,BrOOo,LinuxIntel_install,pt-BR,5
2010-01-01,BrOOo,LinuxX86-64_install,pt-BR,3
2010-01-01,BrOOo,MacOSXIntel_install,pt-BR,2
2010-01-01,BrOOo,SolarisSparc_install,pt-BR,1
2010-01-01,BrOOo,Solarisx86_install,pt-BR,1
2010-01-01,BrOOo,Win32Intel_install,pt-BR,7
2010-01-01,BrOOo,Win32Intel_install_wJRE,pt-BR,41
2010-01-01,iso,LinuxIntel,en,7
2010-01-01,iso,MacOSXIntel,en,8
2010-01-01,iso,Solaris,en,2
2010-01-01,iso,Win32Intel,en,110
2010-01-01,OOo,LinuxIA64_install,en-US,52
2010-01-01,OOo,LinuxIntel_install,ar,5
2010-01-01,OOo,LinuxIntel_install,bn,2
2010-01-01,OOo,LinuxIntel_install,da,27
2010-01-01,OOo,LinuxIntel_install,de,110
2010-01-01,OOo,LinuxIntel_install,el,36
2010-01-01,OOo,LinuxIntel_install,en-US,483
2010-01-01,OOo,LinuxIntel_install,es,229
2010-01-01,OOo,LinuxIntel_install,et,2
2010-01-01,OOo,LinuxIntel_install,eu,2
2010-01-01,OOo,LinuxIntel_install,fr,87
2010-01-01,OOo,LinuxIntel_install,gl,7
2010-01-01,OOo,LinuxIntel_install,hu,5
2010-01-01,OOo,LinuxIntel_install,it,192
2010-01-01,OOo,LinuxIntel_install,ja,42
2010-01-01,OOo,LinuxIntel_install,ko,18
2010-01-01,OOo,LinuxIntel_install,lt,8
2010-01-01,OOo,LinuxIntel_install,mk,7
2010-01-01,OOo,LinuxIntel_install,nb,10
2010-01-01,OOo,LinuxIntel_install,nl,42
2010-01-01,OOo,LinuxIntel_install,nn,6
2010-01-01,OOo,LinuxIntel_install,om,2
2010-01-01,OOo,LinuxIntel_install,pl,47
2010-01-01,OOo,LinuxIntel_install,pt,5
2010-01-01,OOo,LinuxIntel_install,ru,74
2010-01-01,OOo,LinuxIntel_install,sh,2
2010-01-01,OOo,LinuxIntel_install,sl,2
2010-01-01,OOo,LinuxIntel_install,sr,3
2010-01-01,OOo,LinuxIntel_install,sv,10
2010-01-01,OOo,LinuxIntel_install,tr,16
2010-01-01,OOo,LinuxIntel_install,vi,6
2010-01-01,OOo,LinuxIntel_install,zh-CN,22
2010-01-01,OOo,LinuxIntel_install,zh-TW,20
2010-01-01,OOo,LinuxIntel_install_wJRE,en-US,478
2010-01-01,OOo,LinuxIntel_install_wJRE,fr,57
2010-01-01,OOo,LinuxIntel_install_wJRE,it,39
2010-01-01,OOo,LinuxIntel_install_wJRE,ja,54
2010-01-01,OOo,LinuxIntel_install_wJRE,pl,20
2010-01-01,OOo,LinuxIntel_install_wJRE,ru,21
2010-01-01,OOo,LinuxIntel_install_wJRE,sv,6
2010-01-01,OOo,LinuxIntel_install_wJRE,tr,18
2010-01-01,OOo,LinuxIntel_install_wJRE,vi,3
2010-01-01,OOo,LinuxIntel_langpack,ar,2
2010-01-01,OOo,LinuxIntel_langpack,as,2
2010-01-01,OOo,LinuxIntel_langpack,bg,2
2010-01-01,OOo,LinuxIntel_langpack,bn,2
2010-01-01,OOo,LinuxIntel_langpack,ca,2
2010-01-01,OOo,LinuxIntel_langpack,cs,2
2010-01-01,OOo,LinuxIntel_langpack,da,6
2010-01-01,OOo,LinuxIntel_langpack,de,14
2010-01-01,OOo,LinuxIntel_langpack,dz,2
2010-01-01,OOo,LinuxIntel_langpack,el,2
2010-01-01,OOo,LinuxIntel_langpack,en-GB,14
2010-01-01,OOo,LinuxIntel_langpack,en-US,24
2010-01-01,OOo,LinuxIntel_langpack,eo,2
2010-01-01,OOo,LinuxIntel_langpack,es,24
2010-01-01,OOo,LinuxIntel_langpack,et,2
2010-01-01,OOo,LinuxIntel_langpack,eu,2
2010-01-01,OOo,LinuxIntel_langpack,fi,2
2010-01-01,OOo,LinuxIntel_langpack,fr,26
2010-01-01,OOo,LinuxIntel_langpack,gl,2
2010-01-01,OOo,LinuxIntel_langpack,gu,2
2010-01-01,OOo,LinuxIntel_langpack,hi-IN,2
2010-01-01,OOo,LinuxIntel_langpack,hu,3
2010-01-01,OOo,LinuxIntel_langpack,id,2
2010-01-01,OOo,LinuxIntel_langpack,is,2
2010-01-01,OOo,LinuxIntel_langpack,it,2
2010-01-01,OOo,LinuxIntel_langpack,ja,13
2010-01-01,OOo,LinuxIntel_langpack,ka,2
2010-01-01,OOo,LinuxIntel_langpack,km,2
2010-01-01,OOo,LinuxIntel_langpack,kn,2
2010-01-01,OOo,LinuxIntel_langpack,ko,2
2010-01-01,OOo,LinuxIntel_langpack,ku,2
2010-01-01,OOo,LinuxIntel_langpack,lt,3
2010-01-01,OOo,LinuxIntel_langpack,lv,2
2010-01-01,OOo,LinuxIntel_langpack,ml,2
2010-01-01,OOo,LinuxIntel_langpack,mr,2
2010-01-01,OOo,LinuxIntel_langpack,my,2
2010-01-01,OOo,LinuxIntel_langpack,nl,9
2010-01-01,OOo,LinuxIntel_langpack,oc,2
2010-01-01,OOo,LinuxIntel_langpack,om,2
2010-01-01,OOo,LinuxIntel_langpack,or,2
2010-01-01,OOo,LinuxIntel_langpack,pa-IN,2
2010-01-01,OOo,LinuxIntel_langpack,pl,7
2010-01-01,OOo,LinuxIntel_langpack,pt,2
2010-01-01,OOo,LinuxIntel_langpack,pt-BR,2
2010-01-01,OOo,LinuxIntel_langpack,ro,3
2010-01-01,OOo,LinuxIntel_langpack,ru,4
2010-01-01,OOo,LinuxIntel_langpack,sh,2
2010-01-01,OOo,LinuxIntel_langpack,si,2
2010-01-01,OOo,LinuxIntel_langpack,sk,2
2010-01-01,OOo,LinuxIntel_langpack,sl,2
2010-01-01,OOo,LinuxIntel_langpack,sr,2
2010-01-01,OOo,LinuxIntel_langpack,sv,2
2010-01-01,OOo,LinuxIntel_langpack,ta,2
2010-01-01,OOo,LinuxIntel_langpack,te,2
2010-01-01,OOo,LinuxIntel_langpack,th,2
