                   Nom du fichier                               somme md5            taille en octets
OOo_3.2.1_Linux_x86_install-deb_fr.tar.gz           6e3201ebf852ab58bebaf0bf3a5fc4cf     147 531 152
OOo_3.2.1_Linux_x86_install-rpm_fr.tar.gz           db3e2c2a459b628a2c038658b1715cdc     148 410 444
OOo_3.2.1_Linux_x86_install-rpm-wJRE_fr.tar.gz      f3e66f3ecbce9876efd0b2e9931f7db2     169 488 343
OOo_3.2.1_Linux_x86_langpack-deb_fr.tar.gz          98f6f30bb6baa301b32abeb674153650      17 788 149
OOo_3.2.1_Linux_x86_langpack-rpm_fr.tar.gz          f67d9d1634b27227c6da9c1f44746bb4      17 780 974
OOo_3.2.1_Linux_x86-64_install-deb_fr.tar.gz        4e520c20255bc7bc36b6d597e92f49a7     163 125 862
OOo_3.2.1_Linux_x86-64_install-rpm-wJRE_fr.tar.gz   4b30a59b7990fc9f7632a421af2b9de7     184 439 241
OOo_3.2.1_Linux_x86-64_langpack-deb_fr.tar.gz       c52cfea526e5f8907163be33557a1ec2      17 759 247
OOo_3.2.1_Linux_x86-64_langpack-rpm_fr.tar.gz       2b6f4424d33eec97fa3c22c49eea53e4      17 778 854
OOo_3.2.1_MacOS_x86_install_fr.dmg                  4c2f6558f69f0e64e38ba80021220c36     173 812 302
OOo_3.2.1_MacOS_x86_langpack_fr.dmg                 840d022f8414747b00a495f27d154019      17 214 871
OOo_3.2.1_Win_x86_install_fr.exe                    700e2c842f5b97ba3f0d013179f15bd6     134 946 144
OOo_3.2.1_Win_x86_install-wJRE_fr.exe               8cff20a62efadf9860b0ceee960975a0     149 664 176
OOo_3.2.1_Win_x86_langpack_fr.exe                   3ae3694b61b731247f7e363a0129dde9      17 658 232
