"Date","Product","OS","Language","Downloads"
2009-11-01,BrOffice.org,winwjre,pt-BR,109
2009-11-01,OOo-Dev,macosxintel,en-US,1
2009-11-01,OpenOffice.org,linuxia64,en-US,12
2009-11-01,OpenOffice.org,linuxintel,da,6
2009-11-01,OpenOffice.org,linuxintel,de,47
2009-11-01,OpenOffice.org,linuxintel,el,35
2009-11-01,OpenOffice.org,linuxintel,en-US,42
2009-11-01,OpenOffice.org,linuxintel,es,432
2009-11-01,OpenOffice.org,linuxintel,fr,21
2009-11-01,OpenOffice.org,linuxintel,gl,2
2009-11-01,OpenOffice.org,linuxintel,it,18
2009-11-01,OpenOffice.org,linuxintel,ja,30
2009-11-01,OpenOffice.org,linuxintel,ko,13
2009-11-01,OpenOffice.org,linuxintel,mk,1
2009-11-01,OpenOffice.org,linuxintel,nb,8
2009-11-01,OpenOffice.org,linuxintel,nl,36
2009-11-01,OpenOffice.org,linuxintel,nn,1
2009-11-01,OpenOffice.org,linuxintel,pl,12
2009-11-01,OpenOffice.org,linuxintel,pt,8
2009-11-01,OpenOffice.org,linuxintel,ru,28
2009-11-01,OpenOffice.org,linuxintel,tr,1
2009-11-01,OpenOffice.org,linuxinteldeb,da,22
2009-11-01,OpenOffice.org,linuxinteldeb,de,139
2009-11-01,OpenOffice.org,linuxinteldeb,el,20
2009-11-01,OpenOffice.org,linuxinteldeb,en-US,891
2009-11-01,OpenOffice.org,linuxinteldeb,es,283
2009-11-01,OpenOffice.org,linuxinteldeb,fr,1308
2009-11-01,OpenOffice.org,linuxinteldeb,gl,2
2009-11-01,OpenOffice.org,linuxinteldeb,it,682
2009-11-01,OpenOffice.org,linuxinteldeb,ja,58
2009-11-01,OpenOffice.org,linuxinteldeb,ko,9
2009-11-01,OpenOffice.org,linuxinteldeb,lt,2
2009-11-01,OpenOffice.org,linuxinteldeb,mk,1
2009-11-01,OpenOffice.org,linuxinteldeb,nb,8
2009-11-01,OpenOffice.org,linuxinteldeb,nl,31
2009-11-01,OpenOffice.org,linuxinteldeb,nn,1
2009-11-01,OpenOffice.org,linuxinteldeb,pl,50
2009-11-01,OpenOffice.org,linuxinteldeb,pt,7
2009-11-01,OpenOffice.org,linuxinteldeb,ru,112
2009-11-01,OpenOffice.org,linuxinteldeb,sv,20
2009-11-01,OpenOffice.org,linuxinteldeb,tr,5
2009-11-01,OpenOffice.org,linuxinteldeb,vi,6
2009-11-01,OpenOffice.org,linuxinteldeb,zh-cn,2
2009-11-01,OpenOffice.org,linuxinteldeb,zh-tw,2
2009-11-01,OpenOffice.org,linuxintellangpack,es,67
2009-11-01,OpenOffice.org,linuxintellangpack,fr,19
2009-11-01,OpenOffice.org,linuxintellangpack,ja,18
2009-11-01,OpenOffice.org,linuxintellangpack,nl,16
2009-11-01,OpenOffice.org,linuxintellangpack,pl,5
2009-11-01,OpenOffice.org,linuxintellangpackdeb,fr,45
2009-11-01,OpenOffice.org,linuxintellangpackdeb,ja,18
2009-11-01,OpenOffice.org,linuxintellangpackdeb,pl,5
2009-11-01,OpenOffice.org,linuxintelwjre,de,1
2009-11-01,OpenOffice.org,linuxintelwjre,en-US,837
2009-11-01,OpenOffice.org,linuxintelwjre,es,6
2009-11-01,OpenOffice.org,linuxintelwjre,fr,178
2009-11-01,OpenOffice.org,linuxintelwjre,it,92
2009-11-01,OpenOffice.org,linuxintelwjre,ja,126
2009-11-01,OpenOffice.org,linuxintelwjre,pl,15
2009-11-01,OpenOffice.org,linuxintelwjre,ru,58
2009-11-01,OpenOffice.org,linuxintelwjre,sv,22
2009-11-01,OpenOffice.org,linuxintelwjre,tr,10
2009-11-01,OpenOffice.org,linuxintelwjre,vi,5
2009-11-01,OpenOffice.org,linuxintelwjre,zh-cn,149
2009-11-01,OpenOffice.org,linuxintelwjre,zh-tw,1
2009-11-01,OpenOffice.org,linuxx86-64,es,13
2009-11-01,OpenOffice.org,linuxx86-64,lt,3
2009-11-01,OpenOffice.org,linuxx86-64,sv,2
2009-11-01,OpenOffice.org,linuxx86-64,tr,8
2009-11-01,OpenOffice.org,linuxx86-64,zh-cn,3
2009-11-01,OpenOffice.org,linuxx86-64,zh-tw,2
2009-11-01,OpenOffice.org,linuxx86-64_langpack,fr,6
2009-11-01,OpenOffice.org,linuxx86-64_langpack,nl,5
2009-11-01,OpenOffice.org,linuxx86-64deb,da,1
2009-11-01,OpenOffice.org,linuxx86-64deb,de,19
2009-11-01,OpenOffice.org,linuxx86-64deb,en-US,60
2009-11-01,OpenOffice.org,linuxx86-64deb,es,30
2009-11-01,OpenOffice.org,linuxx86-64deb,fr,25
2009-11-01,OpenOffice.org,linuxx86-64deb,it,31
2009-11-01,OpenOffice.org,linuxx86-64deb,ja,17
2009-11-01,OpenOffice.org,linuxx86-64deb,lt,1
2009-11-01,OpenOffice.org,linuxx86-64deb,nl,16
2009-11-01,OpenOffice.org,linuxx86-64deb,pl,11
2009-11-01,OpenOffice.org,linuxx86-64deb,ru,14
2009-11-01,OpenOffice.org,linuxx86-64deb,sv,10
2009-11-01,OpenOffice.org,linuxx86-64deb,tr,2
2009-11-01,OpenOffice.org,linuxx86-64deb,zh-cn,2
2009-11-01,OpenOffice.org,linuxx86-64deb,zh-tw,1
2009-11-01,OpenOffice.org,linuxx86-64langpackdeb,fr,13
2009-11-01,OpenOffice.org,linuxx86-64wjre,da,2
2009-11-01,OpenOffice.org,linuxx86-64wjre,de,8
2009-11-01,OpenOffice.org,linuxx86-64wjre,en-US,61
2009-11-01,OpenOffice.org,linuxx86-64wjre,fr,35
2009-11-01,OpenOffice.org,linuxx86-64wjre,it,21
2009-11-01,OpenOffice.org,linuxx86-64wjre,ja,25
2009-11-01,OpenOffice.org,linuxx86-64wjre,nl,3
2009-11-01,OpenOffice.org,linuxx86-64wjre,pl,5
